mission_name,cat,region,role,dip_name,suffix,id,url
Mission of the People's Republic of China to ASEAN,international_organizations,global,Ambassador,H.E. Mr. Deng Xijun,NA,t1035507,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376//t1035507.shtml
Chinese Consulate-General in Zamyn-Uud(Mongolia),consulate,Asia,Consul General,Li Yanjun,NA,t1088825,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362//t1088825.shtml
Chinese Consulate-General in Luang Prabang(Lao),consulate,Asia,Consul General,Li Zhigong,NA,t1104487,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362//t1104487.shtml
Chinese Consulate-General in Willemstad (Dutch Caribbean),consulate,Europe,Consul General,Li Yigang,NA,t1116239,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370//t1116239.shtml
Chinese Consulate-General in Khon Kaen (Thailand),consulate,Asia,Consul-General,Liao Junyun,NA,t1169764,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362//t1169764.shtml
Chinese Embassy in Somalia,embassy,Africa,Ambassador,Fei Shengchao,NA,t1201067,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t1201067.shtml
Chinese Consulate-General in Erbil (Iraq),consulate,Western Asia and North Africa,Consul General,Ni Ruchi,NA,t1213971,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364//t1213971.shtml
Chinese Consulate-General in Denpasar (Indonesia),consulate,Asia,ConsulGeneral,Zhu Xinglong,NA,t1218622,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362//t1218622.shtml
Mission of the People's Republic of China to the African Union,international_organizations,global,Ambassador,Liu Yuxi,NA,t1262684,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376//t1262684.shtml
Chinese Consulate-General in Recife (Brazil),consulate,Latin America,Consul General,Yan Yuqing,NA,t1287565,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2505_665374//t1287565.shtml
Chinese Consulate-General in Belfast (United Kingdom),consulate,Europe,Consul General,Wang Shuying,NA,t1290663,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370//t1290663.shtml
Chinese Consulate-General in Osh (Kyrghyz),consulate,Europe and Central Asia,Consul General,Cui Shaochun,NA,t1308185,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368//t1308185.shtml
Chinese Embassy in Afghanistan,embassy,Asia,Ambassador,Wang Yu,NA,t14373,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14373.shtml
Chinese Embassy in D.P.R.K.(the Democratic People's Republic of Korea),embassy,Asia,Ambassador,Li Jinjun,NA,t14374,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14374.shtml
Chinese Embassy in India,embassy,Asia,Ambassador,Sun Weidong,NA,t14375,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14375.shtml
Chinese Embassy in Indonesia,embassy,Asia,Ambassador,Xiao qian,NA,t14376,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14376.shtml
Chinese Embassy in Japan,embassy,Asia,Ambassador,Kong Xuanyou,NA,t14377,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14377.shtml
Chinese Embassy in Lao,embassy,Asia,Ambassador,Jiang Zaidong,NA,t14378,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14378.shtml
Chinese Embassy in Malaysia,embassy,Asia,Ambassador,Ouyang Yujing,NA,t14379,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14379.shtml
Chinese Embassy in Mongolia,embassy,Asia,Ambassador,Chai Wenrui,NA,t14380,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14380.shtml
Chinese Embassy in Brunei,embassy,Asia,Ambassador,Yu Hong,NA,t14381,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14381.shtml
Chinese Embassy in Nepal,embassy,Asia,Ambassador,Hou Yanqi,NA,t14382,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14382.shtml
Chinese Embassy in Sri Lanka,embassy,Asia,Ambassador,Qi Zhenhong,NA,t14383,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14383.shtml
Chinese Embassy in Thailand,embassy,Asia,Ambassador,Han Zhiqiang,NA,t14384,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14384.shtml
Chinese Embassy in Cambodia,embassy,Asia,Ambassador,Wang Wentian,NA,t14385,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14385.shtml
Chinese Embassy in Bangladesh,embassy,Asia,Ambassador,Li Jiming,NA,t14386,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14386.shtml
Chinese Embassy in R.O.K.(the Republic of Korea),embassy,Asia,Ambassador,Xing Haiming,NA,t14387,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14387.shtml
Chinese Embassy in Singapore,embassy,Asia,Ambassador,Hong Xiaoyong,NA,t14388,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14388.shtml
Chinese Embassy in the Philippines,embassy,Asia,Ambassador,Huang Xilian,NA,t14389,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14389.shtml
Chinese Embassy in Vietnam,embassy,Asia,Ambassador,Xiong Bo,NA,t14390,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14390.shtml
Chinese Embassy in Pakistan,embassy,Asia,Ambassador,Nong Rong,NA,t14391,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14391.shtml
Chinese Embassy in Myanmar,embassy,Asia,Ambassador,Chen Hai,NA,t14392,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14392.shtml
Chinese Embassy in East Timor,embassy,Asia,Ambassador,Xiao Jianguo,NA,t14394,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14394.shtml
Chinese Embassy in Bahrain,embassy,Western Asia and North Africa,Ambassador,An Wa'er,NA,t14395,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14395.shtml
Chinese Embassy in Iran,embassy,Western Asia and North Africa,Ambassador,Chang Hua,NA,t14396,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14396.shtml
Chinese Embassy in Lebanon,embassy,Western Asia and North Africa,Ambassador,Qian Minjian,NA,t14397,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14397.shtml
Chinese Embassy in Iraq,embassy,Western Asia and North Africa,Ambassador,Zhang Tao,NA,t14398,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14398.shtml
Chinese Embassy in Syria,embassy,Western Asia and North Africa,Ambassador,Feng Biao,NA,t14399,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14399.shtml
Chinese Embassy in Egypt,embassy,Western Asia and North Africa,Ambassador,Liao Liqiang,NA,t14400,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14400.shtml
Chinese Embassy in Algeria,embassy,Western Asia and North Africa,Ambassador,Li Lianhe,NA,t14401,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14401.shtml
Chinese Embassy in Libyan,embassy,Western Asia and North Africa,Ambassador,Li Zhiguo,NA,t14402,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14402.shtml
Chinese Embassy in Jordan,embassy,Western Asia and North Africa,Ambassador,Chen Chuandong,NA,t14403,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14403.shtml
Chinese Embassy in Mauritania,embassy,Western Asia and North Africa,Ambassador,Li Baijun,NA,t14404,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14404.shtml
Chinese Embassy in Morocco,embassy,Western Asia and North Africa,Ambassador,Li Changlin,NA,t14405,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14405.shtml
Chinese Embassy in Saudi Arabia,embassy,Western Asia and North Africa,Ambassador,Chen Weiqing,NA,t14406,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14406.shtml
Chinese Embassy in Sudan,embassy,Western Asia and North Africa,Ambassador,Ma Xinmin,NA,t14407,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14407.shtml
Chinese Embassy in Tunisian,embassy,Western Asia and North Africa,Ambassador,Zhang Jianguo,NA,t14408,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14408.shtml
Chinese Embassy in Turkey,embassy,Western Asia and North Africa,Ambassador,Liu Shaobin,NA,t14409,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14409.shtml
Chinese Embassy in Israel,embassy,Western Asia and North Africa,Ambassador,Cai Run,NA,t14410,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14410.shtml
Chinese Embassy in Kuwait,embassy,Western Asia and North Africa,Ambassador,Li Minggang,NA,t14411,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14411.shtml
Chinese Embassy in Qatar,embassy,Western Asia and North Africa,Ambassador,Zhou Jian,NA,t14412,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14412.shtml
Chinese Embassy in Oman,embassy,Western Asia and North Africa,Ambassador,Li Lingbing,NA,t14413,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14413.shtml
Chinese Embassy in the United Arab Emirates,embassy,Western Asia and North Africa,Ambassador,Ni Jian,NA,t14414,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14414.shtml
Chinese Embassy in Yemen,embassy,Western Asia and North Africa,Ambassador,Kang Yong,NA,t14415,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348//t14415.shtml
Chinese Embassy in Cyprus,embassy,Europe,Ambassador,Liu Yantao,NA,t14416,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354//t14416.shtml
Office of the People's Republic of China to the Palestinian National Authority,international_organizations,global,Director,Yang Weiguo,NA,t14417,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376//t14417.shtml
Chinese Embassy in Djibouti,embassy,Africa,Ambassador,Hu Bin,NA,t14418,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14418.shtml
Chinese Embassy in Angola,embassy,Africa,Ambassador,Gong Tao,NA,t14419,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14419.shtml
Chinese Embassy in Botswana,embassy,Africa,Ambassador,Wang Xuefeng,NA,t14420,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14420.shtml
Chinese Embassy in Central Africa,embassy,Africa,Ambassador,Chen Dong,NA,t14421,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14421.shtml
Chinese Embassy in Gabon,embassy,Africa,Ambassador,Hu Changchun,NA,t14422,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14422.shtml
Chinese Embassy in Guinea-Bissau,embassy,Africa,Ambassador,Guo Ce,NA,t14423,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14423.shtml
Chinese Embassy in Mauritius,embassy,Africa,Ambassador,Zhu Liying,NA,t14424,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14424.shtml
Chinese Embassy in Mozambique,embassy,Africa,Ambassador,Wang Hejun,NA,t14425,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14425.shtml
Chinese Embassy in Nigeria,embassy,Africa,Ambassador,Cui Jianchun,NA,t14426,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14426.shtml
Chinese Embassy in Rwanda,embassy,Africa,Ambassador,Rao Hongwei,NA,t14427,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14427.shtml
Chinese Embassy in Tanzania,embassy,Africa,Ambassador,Chen Mingjian,NA,t14428,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14428.shtml
Chinese Embassy in D.R. Congo,embassy,Africa,Ambassador,Zhu Jing,NA,t14429,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14429.shtml
Chinese Embassy in Ethiopia,embassy,Africa,Ambassador,Zhao Zhiyuan,NA,t14430,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14430.shtml
Chinese Embassy in Comores,embassy,Africa,Ambassador,He Yanjun,NA,t14431,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14431.shtml
Chinese Embassy in Lesotho,embassy,Africa,Ambassador,Lei Kezhong,NA,t14432,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14432.shtml
Chinese Embassy in Benin,embassy,Africa,Ambassador,Peng Jingtao,NA,t14433,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14433.shtml
Chinese Embassy in Burundi,embassy,Africa,Ambassador,Zhao Jiangping,NA,t14434,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14434.shtml
Chinese Embassy in Cameroon,embassy,Africa,Ambassador,Wang Yingwu,NA,t14435,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14435.shtml
Chinese Embassy in Cape Verde,embassy,Africa,Ambassador,Du Xiaocong,NA,t14436,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14436.shtml
Chinese Embassy in Congo,embassy,Africa,Ambassador,Ma Fulin,NA,t14437,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14437.shtml
Chinese Embassy in Coted'lvoire,embassy,Africa,Ambassador,Wan Li,NA,t14438,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14438.shtml
Chinese Embassy in Equatorial Guinea,embassy,Africa,Ambassador,Qi Mei,NA,t14439,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14439.shtml
Chinese Embassy in Ghana,embassy,Africa,Ambassador,Lu Kun,NA,t14440,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14440.shtml
Chinese Embassy in Guinea,embassy,Africa,Ambassador,Huang Wei,NA,t14441,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14441.shtml
Chinese Embassy in Kenya,embassy,Africa,Ambassador,Zhou Pingjian,NA,t14442,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14442.shtml
Chinese Embassy in Mali,embassy,Africa,Ambassador,Zhu Liying,NA,t14443,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14443.shtml
Chinese Embassy in Niger,embassy,Africa,Ambassador,Jiang Feng,NA,t14444,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14444.shtml
Chinese Embassy in Seychelles,embassy,Africa,Ambassador,Guo Wei,NA,t14445,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14445.shtml
Chinese Embassy in Sierra Leone,embassy,Africa,Ambassador,Hu Zhangliang,NA,t14446,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14446.shtml
Chinese Embassy in South Africa,embassy,Africa,Ambassador,Chen Xiaodong,NA,t14447,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14447.shtml
Chinese Embassy in Madagascar,embassy,Africa,Ambassador,Guo Xiaomei,NA,t14452,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14452.shtml
Chinese Embassy in Eritrea,embassy,Africa,Ambassador,Cai Ge,NA,t14453,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14453.shtml
Chinese Embassy in Namibia,embassy,Africa,Ambassador,Zhang Yiming,NA,t14454,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t14454.shtml
Chinese Embassy in Albania,embassy,Europe,Ambassador,Zhou Ding,NA,t14455,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354//t14455.shtml
Chinese Embassy in  Romania,embassy,Europe,Ambassador,Jiang Yu,NA,t14456,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354//t14456.shtml
Chinese Embassy in Azerbaijan,embassy,Europe and Central Asia,Ambassador,Guo Min,NA,t14457,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352//t14457.shtml
Chinese Embassy in Czech,embassy,Europe,Ambassador,Zhang Jianmin,NA,t14458,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354//t14458.shtml
Chinese Embassy in Serbia,embassy,Europe,Ambassador,Chen Bo,NA,t14459,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354//t14459.shtml
Chinese Embassy in Latvia,embassy,Europe,Ambassador,Liang Jianquan,NA,t14460,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354//t14460.shtml
Chinese Embassy in Belarus,embassy,Europe and Central Asia,Ambassador,Xie Xiaoyong,NA,t14461,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352//t14461.shtml
Chinese Embassy in Bulgaria,embassy,Europe,Ambassador,Dong Xiaojun,NA,t14462,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354//t14462.shtml
Chinese Embassy in Croatia,embassy,Europe,Ambassador,Xu Erwen,NA,t14463,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354//t14463.shtml
